name,molweight,boiling point (K),type
(-)-b-citronellol,156.2682,498.65,alcohol
"(1R,2S,5R)-(-)-menthol",156.2682,489.55,alcohol
(<+->)-2-butanol,74.1228,372,alcohol
(R)-(+)-b-citronellol,156.2682,480.78,alcohol
(R)-(-)-1-amino-2-propanol,75.1106,433.15,alcohol
(R)-(-)-1-methoxy-2-propanol,90.1222,430.7,alcohol
(R)-(-)-2-amino-1-butanol,89.13748,446.15,alcohol
(R)-(-)-2-amino-1-propanol,75.1106,447.65,alcohol
(R)-(-)-2-amino-3-methyl-1-butanol,103.16436,462.65,alcohol
(R)-(-)-2-butanol,74.1228,372.65,alcohol
(R)-(-)-2-heptanol,116.20344,420.75,alcohol
(R)-(-)-2-octanol,130.23032,448.9,alcohol
(R)-(-)-2-pentanol,88.14968,397.1,alcohol
"(R)-3,7-dimethyl-1-octanol",158.28408,485.7,alcohol
(RS)-2-hexanol,102.17656,413.15,alcohol
(S)-(+)-1-amino-2-propanol,75.1106,433.15,alcohol
(S)-(+)-1-dimethylamino-2-propanol,103.16436,397.15,alcohol
(S)-(+)-1-methoxy-2-propanol,90.1222,430.7,alcohol
(S)-(+)-2-amino-1-butanol,89.13748,446.15,alcohol
(S)-(+)-2-amino-3-methyl-1-butanol,103.16436,435.3,alcohol
(S)-(+)-2-butanol,74.1228,372.6,alcohol
(S)-(+)-2-decanol,158.28408,484.15,alcohol
(S)-(+)-2-heptanol,116.20344,426.8,alcohol
(S)-(+)-2-hexanol,102.17656,411.65,alcohol
(S)-(+)-2-methoxypropanol,90.1222,430.7,alcohol
(S)-(+)-2-octanol,130.23032,451.05,alcohol
(S)-(+)-2-pentanol,88.14968,391.65,alcohol
(S)-(-)-2-methyl-1-butanol,88.14968,401.05,alcohol
(S)-3-methyl-2-butanol,88.14968,372.19,alcohol
(±)-b-citronellol,156.2682,496.4,alcohol
(±)-glycidol,74.07944,433.65,alcohol
"1,10-decanediol",174.28348,574,alcohol
"1,19-nonanecanediol",300.5254,698.15,alcohol
"1,2,3-benzenetriol",126.11184,581.85,alcohol
"1,2-butanediol",90.1222,469.57,alcohol
"1,2-eicosanediol",314.55228,693.15,alcohol
"1,2-ethanedithiol",94.20164,419.2,alcohol
"1,2-nonadecanediol",300.5254,679.15,alcohol
"1,20-eicosanediol",314.55228,712.15,alcohol
"1,3-butanediol",90.1222,481.38,alcohol
"1,3-dichloro-2-propanol",128.98544,447.45,alcohol
"1,3-eicosanediol",314.55228,704.15,alcohol
"1,3-nonadecanediol",300.5254,690.15,alcohol
"1,3-propanediol",76.09532,487.55,alcohol
"1,4-eicosanediol",314.55228,725.15,alcohol
"1,4-nonadecanediol",300.5254,711.15,alcohol
1-(1-methylethoxy)-2-propanol,118.17596,411.15,alcohol
1-(dimethylamino)-2-propanol,103.16436,397.65,alcohol
1-amino-2-butanol,89.13748,442.05,alcohol
1-amino-2-methyl-2-propanol,89.13748,424.05,alcohol
1-amino-2-propanol,75.1106,432.61,alcohol
1-aminoethanol,61.08372,444.15,alcohol
1-decanol,158.28408,504.07,alcohol
1-dodecanethiol,202.40444,547.75,alcohol
1-dodecanol,186.33784,536.95,alcohol
1-eicosanethiol,314.61948,656.16,alcohol
1-eicosanol,298.55288,645.5,alcohol
1-ethoxy-2-propanol,104.14908,404.15,alcohol
1-heptadecanethiol,272.53884,621.16,alcohol
1-heptadecanol,256.47224,610.5,alcohol
1-heptanol,116.20344,449.45,alcohol
1-hexadecanethiol,258.51196,607.16,alcohol
1-hexadecanol,242.44536,597.23,alcohol
1-hexanol,102.17656,430.55,alcohol
1-methoxy-2-butanol,104.14908,407.15,alcohol
1-methyl-2-ethyl-1-hexanol,144.2572,462,alcohol
1-methyl-3-ethyl-1-hexanol,144.2572,465.15,alcohol
1-methylcyclohexanol,114.18756,441.15,alcohol
1-nonadecanethiol,300.5926,645.16,alcohol
1-nonadecanol,284.526,634.6,alcohol
1-nonanol,144.2572,486.25,alcohol
1-nonen-3-ol,142.24132,466.65,alcohol
1-octadecanethiol,286.56572,633.16,alcohol
1-octadecanol,270.49912,624,alcohol
1-octanol,130.23032,468.35,alcohol
1-pentadecanethiol,244.48508,593.86,alcohol
1-pentadecanol,228.41848,583.4,alcohol
1-phenyl-2-propanol,136.19368,493.15,alcohol
1-phenylethanol,122.1668,477.15,alcohol
1-piperazineethanol,130.19004,519.15,alcohol
1-propoxy-2-propanol,118.17596,421.85,alcohol
1-tert-butoxy-2-propanol,132.20284,417.15,alcohol
1-tetradecanethiol,230.4582,579.36,alcohol
1-tetradecanol,214.3916,568.8,alcohol
1-tridecanethiol,216.43132,563.96,alcohol
1-tridecanol,200.36472,553.6,alcohol
1-undecanethiol,188.37756,530.55,alcohol
1-undecanol,172.31096,518.15,alcohol
12-methyl-1-tridecanol,214.3916,552.35,alcohol
"2,2'-oxydiethanethiol",138.2548,490.15,alcohol
"2,2,3,3-tetramethyl-1-butanol",130.23032,446,alcohol
"2,2,3,4,4-pentamethyl-3-pentanol",158.28408,467.55,alcohol
"2,2,3,4-tetramethyl-3-hexanol",158.28408,465.15,alcohol
"2,2,3,4-tetramethyl-3-pentanol",144.2572,447.35,alcohol
"2,2,3,5-tetramethyl-3-hexanol",158.28408,513.48,alcohol
"2,2,3-trimethyl-1-butanol",116.20344,430.15,alcohol
"2,2,3-trimethyl-1-pentanol",130.23032,447.65,alcohol
"2,2,3-trimethyl-3-heptanol",158.28408,459.15,alcohol
"2,2,3-trimethyl-3-hexanol",144.2572,446.25,alcohol
"2,2,3-trimethyl-3-pentanol",130.23032,425.15,alcohol
"2,2,4,4-tetramethyl-3-hexanol",158.28408,463.15,alcohol
"2,2,4,4-tetramethyl-3-pentanol",144.2572,440.15,alcohol
"2,2,4-trimethyl-1,3-pentanediol",146.22972,505.15,alcohol
"2,2,4-trimethyl-1-pentanol",130.23032,441.45,alcohol
"2,2,4-trimethyl-3-ethyl-3-pentanol",158.28408,464.15,alcohol
"2,2,4-trimethyl-3-hexanol",144.2572,442.15,alcohol
"2,2,4-trimethyl-3-pentanol",130.23032,424.15,alcohol
"2,2,4-trimethyl-4-heptanol",158.28408,454.15,alcohol
"2,2,5,5-tetramethyl-3-hexanol",158.28408,443.15,alcohol
"2,2,5-trimethyl-3-hexanol",144.2572,433.15,alcohol
"2,2,5-trimethyl-4-heptanol",158.28408,455,alcohol
"2,2,6-trimethyl-3-heptanol",158.28408,463,alcohol
"2,2,6-trimethyl-4-heptanol",158.28408,455,alcohol
"2,2-diethyl-1-butanol",130.23032,446,alcohol
"2,2-dimethyl-1,3-butanediol",118.17596,475.55,alcohol
"2,2-dimethyl-1,4-butanediol",118.17596,480,alcohol
"2,2-dimethyl-1-butanol",102.17656,409.95,alcohol
"2,2-dimethyl-1-heptanol",144.2572,465.15,alcohol
"2,2-dimethyl-1-hexanol",130.23032,445.65,alcohol
"2,2-dimethyl-1-octanol",158.28408,481.15,alcohol
"2,2-dimethyl-1-pentanol",116.20344,426.15,alcohol
"2,2-dimethyl-1-propanethiol",104.21628,376.83,alcohol
"2,2-dimethyl-1-propanol",88.14968,386.25,alcohol
"2,2-dimethyl-3-ethyl-1-pentanol",144.2572,461,alcohol
"2,2-dimethyl-3-ethyl-3-pentanol",144.2572,447.15,alcohol
"2,2-dimethyl-3-heptanol",144.2572,451,alcohol
"2,2-dimethyl-3-hexanol",130.23032,429.25,alcohol
"2,2-dimethyl-3-octanol",158.28408,467,alcohol
"2,2-dimethyl-3-pentanol",116.20344,409.15,alcohol
"2,2-dimethyl-4-ethyl-3-hexanol",158.28408,460.15,alcohol
"2,2-dimethyl-4-heptanol",144.2572,447.15,alcohol
"2,2-dimethyl-4-octanol",158.28408,463.15,alcohol
"2,3,3,4-tetramethyl-2-pentanol",144.2572,453,alcohol
"2,3,3-trimethyl-1-butanol",116.20344,433.15,alcohol
"2,3,3-trimethyl-1-pentanol",130.23032,449,alcohol
"2,3,3-trimethyl-2-butanol",116.20344,404.15,alcohol
"2,3,3-trimethyl-2-pentanol",130.23032,433.15,alcohol
"2,3,4,4-tetramethyl-2-hexanol",158.28408,463.15,alcohol
"2,3,4,4-tetramethyl-2-pentanol",144.2572,453,alcohol
"2,3,4,4-tetramethyl-3-hexanol",158.28408,474.15,alcohol
"2,3,4,5-tetramethylphenol",150.22056,533.15,alcohol
"2,3,4,6-tetramethylphenol",150.22056,523.15,alcohol
"2,3,4-trimethyl-1-pentanol",130.23032,456.15,alcohol
"2,3,4-trimethyl-2-hexanol",144.2572,466,alcohol
"2,3,4-trimethyl-2-pentanol",130.23032,431.15,alcohol
"2,3,4-trimethyl-3-hexanol",144.2572,439,alcohol
"2,3,4-trimethyl-3-pentanol",130.23032,430.15,alcohol
"2,3,4-trimethylphenol",136.19368,510.15,alcohol
"2,3,5,5-tetramethyl-3-hexanol",158.28408,475,alcohol
"2,3,5,6-tetramethylphenol",150.22056,521.15,alcohol
"2,3,5-trimethyl-3-hexanol",144.2572,439,alcohol
"2,3,5-trimethylphenol",136.19368,508.55,alcohol
"2,3,6-trimethyl-3-heptanol",158.28408,463,alcohol
"2,3,6-trimethylphenol",136.19368,510,alcohol
"2,3-dichloro-1-propanol",128.98544,457.15,alcohol
"2,3-diethylphenol",150.22056,505,alcohol
"2,3-dimethyl-1,2-butanediol",118.17596,480,alcohol
"2,3-dimethyl-1,3-butanediol",118.17596,480,alcohol
"2,3-dimethyl-1-butanol",102.17656,422.15,alcohol
"2,3-dimethyl-1-hexanol",130.23032,447,alcohol
"2,3-dimethyl-1-pentanol",116.20344,437.15,alcohol
"2,3-dimethyl-2,3-butanediol",118.17596,445.95,alcohol
"2,3-dimethyl-2,3-pentanediol",132.20284,525.85,alcohol
"2,3-dimethyl-2-butanethiol",118.24316,407.26,alcohol
"2,3-dimethyl-2-butanol",102.17656,391.75,alcohol
"2,3-dimethyl-2-ethyl-1-butanol",130.23032,446,alcohol
"2,3-dimethyl-2-heptanol",144.2572,455,alcohol
"2,3-dimethyl-2-hexanol",130.23032,433.25,alcohol
"2,3-dimethyl-2-pentanol",116.20344,412.15,alcohol
"2,3-dimethyl-2-tert-butyl-1-butanol",158.28408,466,alcohol
"2,3-dimethyl-3-ethyl-2-pentanol",144.2572,461,alcohol
"2,3-dimethyl-3-heptanol",144.2572,447.15,alcohol
"2,3-dimethyl-3-hexanol",130.23032,431.35,alcohol
"2,3-dimethyl-3-octanol",158.28408,462.25,alcohol
"2,3-dimethyl-3-pentanol",116.20344,413.15,alcohol
"2,3-dimethyl-4-ethylphenol",150.22056,510,alcohol
"2,3-dimethyl-5-ethylphenol",150.22056,510,alcohol
"2,3-dimethyl-6-ethylphenol",150.22056,510,alcohol
"2,3-dimethylthiophenol",138.2334,489.45,alcohol
"2,3-xylenol",122.1668,490.07,alcohol
"2,4,4,5-tetramethyl-3-hexanol",158.28408,475,alcohol
"2,4,4-trimethyl-1-pentanol",130.23032,444.15,alcohol
"2,4,4-trimethyl-2-hexanol",144.2572,466,alcohol
"2,4,4-trimethyl-2-pentanol",130.23032,419.55,alcohol
"2,4,4-trimethyl-3-hexanol",144.2572,444.15,alcohol
"2,4,5-trimethyl-2-hexanol",144.2572,466,alcohol
"2,4,5-trimethyl-4-heptanol",158.28408,455,alcohol
"2,4,5-trimethylphenol",136.19368,508.55,alcohol
"2,4,6-trimethyl-2-heptanol",158.28408,466,alcohol
"2,4,6-trimethyl-4-heptanol",158.28408,455.15,alcohol
"2,4,6-trimethylphenol",136.19368,493.95,alcohol
"2,4-bis(1-methylethyl)phenol",178.27432,524.28,alcohol
"2,4-di-tert-butyl-5-methylphenol",220.35496,555.15,alcohol
"2,4-di-tert-butyl-6-methylphenol",220.35496,542.15,alcohol
"2,4-di-tert-butylphenol",206.32808,536.65,alcohol
"2,4-diethylphenol",150.22056,501.15,alcohol
"2,4-dimethyl-1-hexanol",130.23032,448.15,alcohol
"2,4-dimethyl-1-pentanol",116.20344,432.15,alcohol
"2,4-dimethyl-2,3-pentanediol",132.20284,459.15,alcohol
"2,4-dimethyl-2,4-pentanediol",132.20284,470,alcohol
